Educ,YEAR,Age_grp,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,BASE_YR
NoHS,2016,"(65,70]",1346875.0971065306,266,3.3415909112804956,2.457146610859771,-0.019020380577644234,2.1028712248056416,3.36061129185814,0.7290085820212086,2019
NoHS,2016,"(70,75]",1164114.4812628857,190,3.399907511562045,3.0315918260138024,0.08106008252281627,2.6328513445056787,3.318847429039229,0.7015154290430261,2019
NoHS,2016,"(75,80]",963491.3403825845,145,3.894360041450981,3.0719782116821293,0.6113764338976578,2.951614556857408,3.2829836075533234,0.6488235961651002,2019
NoHS,2016,"(80,85]",753745.7765274209,122,4.160905049632757,2.7576982158893015,0.8791008195027699,2.500773574234728,3.281804230129987,0.7748633135679501,2019
NoHS,2016,"(85,90]",349000.0869612086,65,3.2661131539472334,2.314753110809736,0.24878101366610136,2.3894220690499766,3.017332140281132,0.48721538906805556,2019
NoHS,2016,"(90,95]",72167.3444160303,10,2.7512425182948133,2.8479063519373065,-0.28749174930127486,2.589617657132833,3.0387342675960882,0.2615192019142404,2019
NoHS,2019,"(15,20]",120605.94458257339,15,1.6402882139242572,1.3702831613760866,-1.729188216033612,1.049223815350359,3.369476429957869,0.38358057215880703,2019
NoHS,2019,"(20,25]",410214.77603528986,71,1.6349684036236276,1.7650389640691948,-1.4917276694817732,1.7042235658702507,3.1266960731054008,0.6869951844427172,2019
NoHS,2019,"(25,30]",476313.6112551994,83,2.0557563041063456,1.666855303514307,-1.3193147983729911,1.7636539635685509,3.3750711024793363,0.5842523047436368,2019
NoHS,2019,"(30,35]",1141944.9431444297,175,3.0191231668258784,1.8249208502425778,-0.7119048352635383,1.6830874007241892,3.731028002089417,0.43279048584380725,2019
NoHS,2019,"(35,40]",837788.2244907671,181,2.0961021083539415,2.0398909921397443,-1.547199457589292,1.6852880098441347,3.6433015659432333,0.6355659052161445,2019
