time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A
11440.0	0.00011784689737948106	-0.0002127546490300336	-0.0030984932291022727	50.374868256448757
11441.0	-0.0025713660159125684	-0.0014763506362243106	-0.00011382206478449675	50.861621369863968
11442.0	-0.0010176424408423479	-0.0014694575044351676	-0.0019369234321924278	50.959857970541677
11443.0	-0.0014345201517560469	-0.0024354430834951923	-0.0079942064503510935	51.432045415599589
11444.0	-0.0036935698949356333	-0.0023946699192425314	-0.0068965008747321477	51.497690495581558
11445.0	-0.0020764107448940639	-0.0026504039089729758	-0.0042447606965858586	51.699058471069321
11446.0	-0.0021727474469259711	-0.0024783707942557243	-0.0031865791043133029	51.757504962802372
11447.0	-0.0042116333427979491	-0.0017449864818157579	-0.00037583159446907821	51.579726619806685
11448.0	0.0032889485494593806	-0.00011109247384566423	0.010687483535550824	51.045883774868223
11449.0	5.1900813295757686e-05	9.271597255122721e-05	-0.001184320830875496	51.020670741315669
11450.0	0.00032146623120188345	0.0013099882280827035	0.013707855376749789	50.529522380078056
11451.0	0.0016764873262520297	0.00093181629537864019	-0.0077285125025623458	50.634702615359366
11452.0	0.00050904164441800681	0.00022161381231344812	0.0020818875921913005	50.746300328892225
11453.0	-0.001082537384268667	-0.00011621831155794737	6.108286921735484e-05	50.85873710877658
11454.0	-6.8948990393780107e-05	-0.0004583403615561199	-0.0078283582923803774	50.946803092786546
11455.0	-0.0011137008351069788	-0.0011999799750566087	-0.0030659761936784324	51.168252229359631
11456.0	-0.00027151959274029913	-0.00037624180332107571	0.0067460931243530364	50.89706031918854
11457.0	-0.0025473225660948007	-0.0014595950871090224	-0.010887560584497358	51.363141622337842
11458.0	-0.0013115597632837872	-0.001704148631005209	-0.001123227325864562	51.4401294274885
11459.0	0.0002216994486929913	-0.00013543145020866731	0.0037607501834957535	50.899159279077125
11460.0	0.00032369312252966687	0.00025285112650386132	0.0036480936029517075	50.762571964293635
11461.0	0.0020261548245903427	0.0015207165400492606	0.010706641466529998	50.27025613090963
11462.0	0.001198433733040849	0.0016546139282160865	3.2644968019690523e-05	50.16031659726837
11463.0	0.00028549502342545274	0.00059375883596102241	-0.0010656236469612779	50.416235198040667
11464.0	0.0016344365754699108	0.0016544528693682725	0.004951600984176574	49.927371053166802
11465.0	0.0010093982169274707	8.7514643465791409e-05	-0.0060022820855931691	50.42068509989047
11466.0	-0.00065132717687665931	0.0005592108569931753	0.0069544855910950165	50.179807545365691
11467.0	0.00033935022280462412	0.00054491164853853746	-0.0048175570726685102	50.175500422230321
11468.0	-0.00014426315061388806	-0.00034357875180290876	-0.0021896142453414758	50.419465952849407
11469.0	0.0008550252125476554	0.00029298296453550421	0.0020882133653048474	50.16057582178378
11470.0	-0.00051225267447718714	0.00025799534960135873	-3.866651060158155e-05	50.155112826873193
11471.0	0.0013587505362071539	0.00014429090630119212	-0.0030624446429226015	50.1390149503952
11472.0	0.0015800622174908519	0.00068952182043346966	0.0078359606725535436	49.893628715076318
11473.0	-0.002138791118826866	0.0003708123652312878	-0.002740612469574577	50.007296573117834
11474.0	0.00066827865483642945	-9.6266024448121712e-05	-0.00094931177235957342	50.118387278550316
11475.0	0.0019496756188703834	0.0011762305051423727	0.0078272655582278805	49.63651039650496
11476.0	0.00088238874586865634	0.0013639183040974334	-0.00010597436293946494	49.532596232227178
11477.0	0.0011989092039901283	0.00076610757629014259	0.0041175720887998146	49.670903694784442
11478.0	2.7770932221837796e-05	0.00036917325335839024	-0.0017546528527223604	49.802512385997737
11479.0	0.001128275844970883	0.0015404132236955803	0.0059668578308571529	49.337571058329829
11480.0	0.0017656834952302081	0.00063784269100719548	-0.0097872761086614801	49.583604629078707
11481.0	-0.0012129991884699542	-8.8585292135068272e-06	0.0040506247288392139	49.708550322145285
11482.0	0.00029433409045265257	0.00039088891397764947	0.0037929783542898221	49.613452092006213
11483.0	0.0010235077758014022	0.0010032888742939061	-0.003810320311043558	49.36768057077682
11484.0	0.00092149084846271379	0.00038577082998414447	-0.0018338523440988297	49.480082402945605
11485.0	-0.00039391717159142914	-3.0880815912182058e-05	0.0040553993215126649	49.606288945028339
11486.0	0.0028186622843329179	0.0013376355098126957	0.0049797094887302773	49.135743802673865
11487.0	-0.0013447196011067142	-0.0001236557623955914	-0.005942029726753173	49.632453120096983
11488.0	-0.00089764181253815245	-0.0009082598980107992	-0.0058212420076870774	49.871401534374456
11489.0	-0.0028628457240347238	-0.00078654341280071094	0.0047766320819049302	49.877156933513909
11490.0	0.0010309712649143599	-0.0011890795627362838	-0.01185141982019533	50.100384850531007
11491.0	-0.00097624488420722244	-0.00048928571367623519	0.0086949417292694342	49.848413293406622
11492.0	-0.0010666462003521282	-0.00018524681543574673	-0.0009335572529880487	49.846760831559784
11493.0	0.0021615889364372531	0.00052531917633524827	0.0078854680495719087	49.618002620314499
11494.0	-0.0010421020876931752	-9.3694868026794609e-05	-0.0087517964467080933	49.86366155822553
11495.0	0.0015136401345929862	0.0010249708798386603	0.0078207927900140195	49.384344253182817
11496.0	0.0018453556671500504	0.0016653897129503825	0.0088692813301383122	49.175450167933136
11497.0	0.0022645926059237098	0.0021015124766734505	-0.0017811251743069523	48.954654151012733
11498.0	0.00050954978101791504	0.00090119668305033152	-0.0058144414366505526	49.208196640276284
11499.0	0.00049486410084931265	0.00026775056401806552	0.0030143009538790011	49.337367093932485
11500.0	0.0016350733402166195	0.0015485442215674716	0.0049927833823941725	48.872388911575371
11501.0	-6.1749672535915678e-05	0.00099898724053648635	-0.0036749615973581395	48.996648107610795
11502.0	0.00024322201523063747	-0.00058272421650640283	-0.0019113972049018546	49.494333063772302
11503.0	-0.00026931633165938607	-0.00020214638810078789	0.00076506417787292058	49.388291244981339
11504.0	0.00028193429203460241	-0.001369499787027717	-0.004822442273593408	49.881649711793507
11505.0	-0.0052186595648935352	-0.0018140746960566556	-0.0070302465834455319	50.114893561994158
11506.0	0.00051642245611471793	-0.0015611878129406787	-0.0049586357435891237	50.083946639544621
11507.0	-0.0031368577810411136	-0.0015410078538642402	0.0058873627802926709	50.194496965796986
11508.0	0.00024457976693148531	0.00020419317769992951	0.0029720491977742736	49.698334885218962
11509.0	0.0011460312673374773	0.00056742643029616957	0.0036601932016342431	49.595874009350347
11510.0	0.00033572211271937213	-0.00017623856062431997	-0.0087960943502465305	49.832016533376944
11511.0	-0.0012588487021101269	-0.00061566614227226424	0.0029316293652574821	49.944628012540512
11512.0	0.00083028321395639537	-0.00011845853566616604	0.0017995229306120297	49.831153497164671
11513.0	-0.00025569730274566105	-0.00036448559906809841	-0.0047530797877453068	49.935566587537579
11514.0	-0.0011670173065965184	-0.0010305304774782531	-0.0020633217714871588	50.173496882132071
11515.0	-0.0018608525782632945	-0.0021368641827703705	-0.008881807987358048	50.639103489776069
11516.0	-0.0029365789466901937	-0.0021630830282519664	-0.0030947286415159425	50.716171343043925
11517.0	-0.0015102521938821223	-0.0023407919810523037	0.0017581566488316103	50.945898271248446
11518.0	-0.0014371653889304614	-0.0015319052411628675	-0.0061841078879856237	50.7845032923777
11519.0	-0.0015538578436551376	-0.00065944836111686556	0.0057458930425466903	50.506866253610035
11520.0	-0.0013092532249754374	-0.0016849597777639502	-0.0079974640351974102	50.971121353810496
11521.0	-0.0013096687152143183	-0.0015002269255111056	0.0027242114939409756	50.942617799633148
11522.0	0.00045034583836045528	0.00015695781995583857	0.0068320458557755703	50.429978731780409
11523.0	-0.0021379228851974297	-0.0010148538729897183	-0.0079290179266340299	50.906824525821492
11524.0	-0.0027685754936046525	-0.0022404956502870554	-0.0040843305562272558	51.382038686129292
11525.0	-0.00064664648143142323	-0.0018718760089939668	-0.0041158982665974175	51.338906233149096
11526.0	-0.0001528432652109224	-0.00026942274029173596	0.007703513956206498	50.81218954058982
11527.0	-0.00010971239592905135	0.00024340514286436132	0.0017528326058207089	50.682776377458012
11528.0	-0.00083825309217377963	-0.00011162740018622053	-0.0019057755020166489	50.783817206949841
11529.0	0.00028763609036430715	-0.00048677930647911261	-0.0039294690154028089	50.873586423049083
11530.0	-0.00016923362658083363	-0.00078414459834186268	0.00094000241130398621	50.969271385620665
11531.0	-0.0006920202484046456	-1.5391784328633307e-05	-0.00098361610275587985	50.686006386170561
11532.0	0.0015826358066735047	0.00060022529707071115	0.0068895540298195002	50.425128940448438
11533.0	0.0011788757924537929	0.00054182061449914443	-0.0030632268991002132	50.408036495154114
11534.0	-0.0019879761467327395	0.00029108722600845738	-9.1170206343083038e-05	50.38967094610468
11535.0	-0.00060557024823637562	-0.00013964486886375305	-0.0019359220632129137	50.482837099129554
11536.0	-0.00084064933533078978	-0.0014498507059543808	-0.0031441455333194313	50.959253497313078
11537.0	0.0013012115710504535	2.9532511609309253e-05	0.0059061991713589279	50.44207941226562
11538.0	0.00075610013379634466	0.00046666985579935094	0.0046876266606994399	50.328294157224313
11539.0	-0.00083929087437017991	-0.00023485632316888605	-0.0069091942348959989	50.564856063865953
11540.0	-0.0019794437752180816	-0.0016443990666097363	-0.0079857870009438781	51.032311384556159
11541.0	-0.00091617229346274698	-0.0008503445753627048	0.0027352930358273131	50.746922333755016
11542.0	3.5594559544271931e-06	0.00068941950829670695	0.010665797940432098	50.24772703753225
11543.0	-0.0004356172916744061	-0.00057327298131881754	-0.012739759803049422	50.716856671388733
11544.0	-0.0016341453057000521	-0.0014289628877746097	-0.0041635252254326183	50.929660255781236
11545.0	0.00074274414856545512	6.9316516494444258e-05	0.012552993703951465	50.420604456116223
11546.0	-0.0005816585420161946	-2.6660155230784355e-05	-0.0067302598480336595	50.513267488949403
11547.0	-0.0019309107319702701	-0.0014468847908803983	-0.0020687909214633926	50.9929907556551
11548.0	0.0023542540716894322	6.3863903031258218e-05	0.0066795990071009115	50.480937501790649
11549.0	-0.0012563520808970274	-0.00012595540387017046	-0.0047948760668370394	50.57812002118353
11550.0	-0.00093493081215312301	-0.0014722521100425379	-0.0020488250261123664	51.063058533635378
11551.0	-0.00087558098128504014	-0.00097901966165303556	-0.0061660788812549772	50.904357537683182
11552.0	-0.0014650492063901233	-0.00088866154255851093	0.0028426004106167913	50.876927931810641
11553.0	-0.0008594243768949017	-0.00092501787567256244	0.0028928439578379539	50.980890167784985
11554.0	-0.00072934748390252047	-0.0013625311450771171	-0.010025317610024231	51.195668935458038
11555.0	-0.0013867221210668301	-0.00065955058217714857	0.0038014464707438744	50.908647160746909
11556.0	0.0012726575834558496	0.00085248819047389901	0.011744142609037889	50.41011556761709
11557.0	-0.00012694743555119459	0.0006061315951808588	0.00012022180658699533	50.533777631766853
11558.0	-0.0010040251528167232	-0.00089907637496700055	-0.015769570588161308	50.997296629864067
11559.0	-0.00075129847822230644	-0.0023624523985379398	-0.0081016761733281317	51.445971798007264
11560.0	-0.0043204523102742254	-0.0032947954079725061	-0.0042295376221277436	51.895595359062021
11561.0	-0.0026319625500439425	-0.003327644696137888	-0.005219417341570276	52.085614636405069
11562.0	-0.0044840615110259829	-0.0029962810038466348	-0.00031032827393362439	52.143001423676722
11563.0	-0.0019270108631650462	-0.0023621867680549968	-0.0011978916936565831	52.082949095897796
11564.0	0.00051778792661671957	-0.00063900373228298335	0.0056551153065003135	51.526573635199
11565.0	-0.00060046972587124436	-0.00038294738580524346	0.0038282523969190851	51.502178229085708
11566.0	-0.0016913788833465837	0.00035575686923428052	0.0018818613738091905	51.223110114826952
11567.0	0.0027696410326700782	0.00059312336081340788	0.0056912171084004815	51.101784297468853
11568.0	-0.00083332589156404069	0.00047146645960993716	-0.0079248679454324567	51.071634817914152
11569.0	0.0013625295177523977	0.0014513803018743054	0.013693802003530209	50.57449776796517
11570.0	0.0033269221772971314	0.0010355478279586716	-0.0058071348151613744	50.680368512194164
11571.0	-0.00064719268672996932	0.00129870979134461	0.0098588887032331485	50.441062489019956
11572.0	0.0018968264608691943	0.00084049145138287429	-0.0066482804893899239	50.550188550311319
11573.0	0.0015860476684592673	0.0017424746497263222	0.0078265569793434242	50.059212261161385
