time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	MrkvState
279.0	-0.0046126524029139748	-0.0011171101741012102	0.0020359578261419653	73.6599505124084	2.0
280.0	0.001070480870155377	-0.0027637757948411057	-0.014851815942180213	74.470445746355239	2.0
281.0	-0.0015833157448479351	-0.0029367649484193237	-0.0066345394645550559	74.354910209135909	2.0
282.0	-0.0085866780288621491	-0.0070912494548456273	-0.0077705231698186328	75.271461757890691	1.0
283.0	-0.0019641990327099457	-0.0069091683914637159	-0.007664733061564899	75.616308754551326	1.0
284.0	-0.011024480716163465	-0.0061860597883103274	-0.0037215485319976871	75.619135973752208	1.0
285.0	-0.0048618608759554149	-0.0062670800096213952	0.0035957733214366794	75.19410369673102	0.0
286.0	-0.0062506905931785095	-0.0041291518422921225	-0.0099995314124825541	75.212140547189719	1.0
287.0	-0.00080417223896556145	-0.0031363149099106202	0.0059413574671685065	74.688153835200367	1.0
288.0	-0.013090923894792272	-0.0049670120417399932	-0.012066859991969325	75.000959760706479	0.0
