time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg
8.000000000000000000e+01;5.353564541240488084e-03;6.437949886394289667e-03;-3.380504812255741287e-03;2.486512081764582938e+00;-3.673044063749880683e-04;1.900474759385373247e-04;-3.380504812255741287e-03;2.471879293863481486e+00;2.000000000000000000e+00;9.999812066944210320e-01
8.100000000000000000e+01;-7.759678671120748272e-03;8.492304616451035182e-03;1.147009652254477041e-02;2.476721864760377922e+00;-5.169175298192593693e-03;3.184011617452547904e-03;1.147009652254474266e-02;2.473404245741654073e+00;3.000000000000000000e+00;9.999812066944210320e-01
8.200000000000000000e+01;-3.792757106797564615e-03;-1.116464927845281507e-02;-1.165668043003859067e-02;2.489753328858566928e+00;1.966732832465650782e-03;-1.822268924563483217e-03;-1.165668043003831311e-02;2.469427632827041474e+00;2.000000000000000000e+00;9.931106134438250077e-01
8.300000000000000000e+01;-5.445872363055506704e-03;-6.154108013429845925e-03;-5.711164813064523171e-03;2.488537468681726317e+00;-2.172117326727909803e-03;-2.536135961451982390e-03;-5.711164813064772972e-03;2.459994569921911456e+00;1.000000000000000000e+00;9.999812066944210320e-01
8.400000000000000000e+01;-2.044426744878731494e-02;-1.112063654071691887e-02;-6.856138787957044567e-03;2.512532222752711597e+00;-1.063967826616456225e-02;-5.847522728621254440e-03;-6.856138787957044567e-03;2.454989527466817201e+00;0.000000000000000000e+00;9.931106134438250077e-01
8.500000000000000000e+01;1.771162491035199738e-02;8.311191587724114926e-03;9.806462527623294179e-03;2.495734131293388280e+00;2.899180126682027181e-03;-1.932450280667616371e-03;9.806462527623543979e-03;2.454346238275105119e+00;1.000000000000000000e+00;1.006908179861754071e+00
8.600000000000000000e+01;-8.852728527306147344e-03;-1.084833204882640345e-02;-1.299176583353928160e-02;2.519531197087311547e+00;-3.894012484578046607e-03;-4.919711867220524781e-03;-1.299176583353953141e-02;2.454118542867103070e+00;0.000000000000000000e+00;9.931106134438250077e-01
8.700000000000000000e+01;5.945420825092140316e-03;6.740084994421552400e-03;3.170395751269261542e-03;2.495762357984365742e+00;-3.477695242467937486e-03;-3.069254117214592625e-03;3.170395751269261542e-03;2.450897993220649607e+00;1.000000000000000000e+00;1.006908179861754071e+00
8.800000000000000000e+01;-2.106588423416169698e-02;-1.108425484627548196e-02;-6.603527591099833671e-03;2.507080222802570368e+00;-9.478653611249165944e-03;-4.348300316862535597e-03;-6.603527591099833671e-03;2.441323244937619652e+00;0.000000000000000000e+00;9.931106134438250077e-01
8.900000000000000000e+01;1.766060793967436093e-02;3.660242727596768608e-03;5.877707270220827729e-03;2.503481889917388070e+00;5.711840771965986940e-03;-1.484060518014557184e-03;5.877707270220827729e-03;2.442837439281375200e+00;1.000000000000000000e+00;9.999812066944210320e-01
